Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Incident_ID,Price_Version,Pricing_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate,Purchase_Type,Anomaly_Flag,Duplicate_Flag,Cost_Allocation_Valid
U23168,acct-025,2025-06-10 04:15:00-08:00,Database,VM.PREM.4,271973,min,534.55,INR,eu-central-1,freetier,TEAM-BACKEND,Production,vm260,TICKET-6428,"Neha Gupta, +1-555-0192 reported latency",INCI_8751,v3,reserved,prod,N/A,True,-393,104.6,SPOT,,,
U29497,  ACCT-019  ,21-09-2025 19:45:00,Security,Vm_prem_8,269223,hour,2743.69,USD,EU-CENTRAL-1,,na,staging,N/A,t-6645,Access denied for user Sara Chen,INC1176,V2,Spot,ds,DELTA,true,-275,88.53,SPOT,,,
U29557,acct041,2025-09-29T19:38:00+05:30,Containers,VM.prem.4,75327,minute,€8935.89,Us Dollar,Canada Central,NONE,,development,N/A,tkt-6879,Customer Carlos Rivera raised billing issue,INCI_3095,V3,ri,eng,Epsilon,yes,-354,na,SPOT,,,
U22314,  ACCT-037  ,2025-02-04 12:35:00,Database,vm-PREM-4,"222,401",hours,$7529.96,,ap_southeast_1,,team-data,PROD,na,t-2840,"Neha Gupta, 89012345 reported latency",Incident-2548,V1.0,Reserved,product,proj-epsilon,No,100,88.49,ON_DEMAND,,,
U22710,ACCT-023,2026-02-05T14:34:00+05:30,Compute,vmPREM16,243705,hrs,"₹7,347.25",,us_east_1,free-tier,Team-SRE,N/A,RES-FUNC.162,T-4353,Billing dispute from neha.g@company.in,,2025-q1,SPOT,unknown,,FALSE,-155,,SPOT,,,
U21085,ACCT009,2025-01-11 25:44,Containers,VM-BASIC-8,176226,hr,"€4,234.88",usd,us east 1,None,TEAM-SRE,PROD,RES-K8S.508,TKT-8389,Customer Sara Chen raised billing issue,INC-6030,V2,Reserved,PROD,Beta,no,-324,82.4,RESERVED,,,
U24225,acct044,2025/10/16 14:09,ML & AI,vm.prem.16,246185,sec,"€4,015.03",N/A,United States East,na,TEAM-FINOPS,prod,na,N/A,Incident follow-up for Sara Chen,incident-4220,v1,ri,Data Science,unknown,True,-19670,82,SPOT,,,
U21249,  ACCT-042  ,2025-10-20 03:16:00,Storage,vm_prem_16,105445,min,₹1671.73,Us Dollar,ca_central_1,N/A,security,DEV,res-k8s-node397,N/A,Access denied for user Kevin Park,incident-7387,V2,spot,Operations,Epsilon,n,-496,88.36,RESERVED,,,
U26802-DUP,Acct-047,2025/12/01 00:35,Compute,vm_basic_16,323952,hrs,USD 8049.73,eur,Asia Pacific (Mumbai),NONE,BACKEND,production,vm-300,T-8015,System alert: CPU spike on resource,incident-6979,v3,reserved,ds,proj-epsilon,0,-215,88.26,ON_DEMAND,,,
U20092,acct-046,2026-01-25 11:35:00-08:00,Analytics,vm.basic.2,"274,121",sec,"₹6,702.70",Us Dollar,eu-central1,free-tier,team-ml,staging,na,N/A,Customer Sara Chen raised billing issue,INC7371,2025-q1,ON-DEMAND,XYZ999,Delta,N,307,83.95,SPOT,,,
U25890,acct004,2025/10/08 09:24,Compute,VM-prem-8,128568,s,€7815.52,eur,eucentral1,free-tier,Team-FRONTEND,Production,na,,Access denied for user Carlos Rivera,INCI_5275,1,reserved,finance,proj_delta,Y,-136,105.91,SPOT,,,
U28371,  ACCT-005  ,2025-06-29T03:11:00+05:30,Analytics,VMBASIC8,323711,hours,INR2510.32,EUR,ap_southeast_1,FreeTier,,TEST,vm.971,t-2353,Incident follow-up for Neha Gupta,INCI_8176,V2.0,Spot,ops,N/A,FALSE,415,83.43,ON_DEMAND,,,
U27815,acct015,2025-06-19 08:01:00+00:00,Compute,vmprem2,182172,minutes,INR6266.52,usd,ca_central_1,none,team_data,STAGING,RES-FUNC.225,TKT-8374,Incident follow-up for Carlos Rivera,INCI_7584,V3,N/A,unknown,alpha,True,43,90.79,SPOT,,,
U21561,acct-0021,2025-02-23 23:48:00-08:00,Security,VMStd2,14280,s,INR4238.43,,AP-SE-1,NONE,TEAM-ML,production,res-func-648,T-2803,Billing dispute from kevin.p@biz.org,INC2283,V3,Spot,ENGINEERING,UNKNOWN,yes,-299,N/A,ON_DEMAND,,,
U24540,ACCT-022,2025-09-10 23:10:00-08:00,Serverless,VM-STD-2,271209,min,INR5854.70,EUR,eu-central1,free-tier,team-frontend,DEV,res-lb-tcp-670,TKT-8887,Auto ticket: Memory utilization high,incident-1499,V1,RI,fin,proj-epsilon,y,233,83.17,ON_DEMAND,,,
